subID,sub,run,trial,direction,ResponseTime,MovementTime,ErrorAngle,AccelerationAngle,Accuracy,TimePeakVelocity,DistancePeakVelocity,PeakVelocity,PeakAcceleration,InitialDirectionAngle,Outlier,Keep,age,dist_sums,dist_std,dist_max,dist_means,path_lengths,angular_averages
VML_MEG_015,12,5,6,-1,0.3,1.177,45.079,47.461,1,0.414,4.9795,65.527,1197.1,45.0851097154732,0,1,12,1382.92247974049,2.58274043861481,8.94562786451692,4.60974159913497,19.7046101262488,59.4736399158488
VML_MEG_015,12,5,7,-1,0.402,1.096,21.463,27.641,0,0.979,13.533,36.633,177.48,21.5857330145281,0,1,12,1198.44614628728,2.80877608024213,8.23961597505905,3.99482048762427,21.8526389293022,15.4692492460892
VML_MEG_015,12,5,8,-1,0.359,1.124,29.747,-139.81,1,0.459,2.1824,27.821,370.26,29.6054577679308,0,1,12,721.551120502286,0.98989917084528,3.63613388105959,2.40517040167429,13.9783819078685,68.3609102531462
VML_MEG_015,12,5,9,1,0.534,0.872,-13.407,-6.7471,0,0.75,8.1034,67.829,465.76,-13.3986131160535,0,1,12,508.565304931572,0.858240516239165,2.73568595192932,1.69521768310524,10.8079646732153,-29.3053723506599
VML_MEG_015,12,5,10,-1,0.445,1.069,51.552,73.545,0,0.719,4.3867,25.774,2438.6,51.4745743419845,0,1,12,557.50761121657,1.19615281608454,3.68259642227743,1.85835870405523,11.1337538379772,103.454036943603
VML_MEG_015,12,5,11,-1,0.755,0.742,21.644,-142.95,0,1.198,7.2377,30.662,148.46,21.5605575390842,0,1,12,365.63666323721,0.431833616095775,1.59553047569201,1.21878887745737,11.7738773787859,37.5443806127656
VML_MEG_015,12,5,12,1,0.36,1.134,42.153,44.113,0,0.471,1.6698,19.438,374.77,42.3059862142958,0,1,12,705.878092425725,1.19561787926625,3.63447117402133,2.35292697475242,12.2993628536399,81.637185315055
VML_MEG_015,12,5,13,1,0.195,1.265,27.289,13.443,1,0.381,3.9965,36.465,360.61,27.3877934758027,0,1,12,1029.22372962611,2.12040552150094,6.26753035263465,3.43074576542036,16.9717233522959,-40.6971536266709
VML_MEG_015,12,5,14,-1,0.328,1.146,23.877,21.356,1,0.484,5.2712,52.346,3296.6,23.8761676168508,0,1,12,1604.1937753991,3.2445199499005,9.52107205703361,5.34731258466367,21.6956921508519,-47.8554853552686
VML_MEG_015,12,5,15,1,0.157,1.355,16.512,18.871,1,0.743,8.9738,25.321,145.25,16.6464137877235,0,1,12,548.131983855907,0.778886992792305,2.84116344434752,1.82710661285302,13.5361115607441,-3.24277326140717
VML_MEG_015,12,5,16,1,0.121,0.799,25.151,18.99,1,0.477,8.8389,74.894,675.75,25.2016634212981,0,1,12,1397.91100262222,3.2935203023752,9.95833698310763,4.65970334207406,25.1174500984254,-4.14608077602702
VML_MEG_015,12,5,17,-1,0.278,1.215,28.627,17.491,0,0.548,7.5661,55.197,380.23,28.5035936680792,0,1,12,1622.70602367088,3.89310764001229,11.5217455813833,5.40902007890293,27.9931414929536,14.7976891419995
VML_MEG_015,12,5,18,1,0.395,0.786,31.737,38.95,0,0.569,4.0124,35.841,321.38,31.7455395899313,0,1,12,472.587043599624,1.11704365195945,3.3855484732171,1.57529014533208,5.93304445163689,53.8199859253794
