4	14	-1	1	0.215	1.066	-20.54	-21.943	-23.311	6.439	64.548	579.08
4	15	1	1	0.316	1.064	-14.697	-8.1298	-16.83	5.6648	32.62	234.09
4	16	-1	1	0.269	1.208	-28.23	-29.31	-31.569	4.0584	47.701	440.64
4	17	-1	1	0.344	1.107	-13.45	-13.505	-15.737	4.9801	51.093	6175.7
4	18	1	1	0	1.469	-7.7765	-3.3143	18.423	6.9321	50.175	578.43
4	19	-1	1	0.228	0.972	-9.8214	-3.0151	-12.262	3.6109	37.003	352.88
4	20	-1	1	0.263	1.198	-25.321	-23.896	-26.782	4.4104	52.392	3152.8
4	21	1	1	0.403	0.676	-1.3973	-1.3561	-9.0356	5.5485	52.508	252.31
4	22	1	1	0.6	0.899	-13.756	-20.925	-12.856	4.8068	43.565	445.94
4	23	-1	1	0.278	1.131	-12.696	-21.624	-7.9179	5.5402	54.717	532.14
4	24	-1	1	0.237	1.162	-5.2698	-4.2493	1.1599	6.5189	65.601	519.22
4	25	-1	1	0.273	0.931	-18.987	-14.868	-21.777	5.6435	57.73	505.78
4	26	-1	1	0.588	0.881	-10.714	-5.977	-5.1876	4.057	42.714	410.94
4	27	1	1	0.517	0.991	143.33	-23.377	141.88	2.6288	28.228	544
4	28	1	1	0.211	1.28	-22.108	-13.454	-18.118	6.4272	32.009	129.77
4	29	1	1	0.31	1.167	-20.31	-25.634	-6.6764	2.5396	26.507	222.7
4	30	1	1	0.224	1.213	-16.487	-18.006	149.98	4.7079	19.838	140.38
5	1	1	1	0.245	1.233	46.79	48.504	57.173	8.239	58.017	682.66
5	2	1	1	0.322	1.146	13.358	6.1454	17.937	4.1716	50.199	637.75
5	3	-1	1	0.233	1.248	15.144	22.004	13.311	3.5061	30.44	270.32
5	4	-1	1	0.389	1.099	-145.22	24.376	29.984	4.2659	39.057	471.88
5	5	-1	1	0.24	1.057	29.803	27.015	25.258	4.1211	44.664	1181.3
5	6	1	1	0.141	1.092	48.82	46.625	103.12	5.0755	28.081	162.78
5	7	-1	1	0	1.241	9.1957	4.8197	-2.6417	7.0086	29.974	237.05
5	8	-1	1	0.689	0.813	-88.61	-84.189	-86.879	3.217	37.554	351.26
5	9	1	1	0.46	0.99	8.3977	43.428	6.5526	6.077	60.719	1869.2
5	10	-1	1	0.295	1.18	31.592	42.794	207.98	4.0176	53.06	1001.9
5	11	1	1	0.332	1.129	15.386	18.319	28.639	6.1805	44.994	253.65
5	12	1	1	0.32	1.18	13.716	23.785	11.477	3.2497	28.519	239.34
5	13	1	1	0.706	0.805	12.839	20.583	20.043	8.3133	57.549	442.84
5	14	1	1	0.503	0.848	11.35	16.17	14.375	4.0886	39.899	370.39
5	15	-1	1	0.194	1.287	36.977	34.833	37.61	4.4013	48.851	429.34
5	16	1	1	0.088	1.333	32.758	34.368	42.878	6.5032	33.686	138.77
5	17	1	1	0	1.005	18.407	33.173	43.979	6.6417	30.432	333.75
5	18	-1	1	0.25	1.223	20.905	16.59	21.15	3.7473	49.657	841.38
5	19	1	1	0.292	0.951	18.021	13.893	24.012	3.9485	41.906	368.85
5	20	-1	1	0.168	1.302	25.171	28.268	-108.91	4.1592	23.531	115.2
5	21	-1	1	0.281	1.178	5.5114	1.4173	17.025	8.3075	23.486	395.53
5	22	1	1	0.516	0.93	14.371	19.064	9.2524	5.346	71.024	2389.1
5	23	-1	1	0.052	1.433	1.2135	-0.69447	-24.289	3.5085	36.785	414.79
5	24	1	1	0.278	0.814	20.252	22.792	28.786	5.4006	55.554	475.32
5	25	-1	1	0.397	1.101	37.56	35.424	40.615	4.0256	47.089	1495.1
5	26	-1	1	0.359	1.026	52.776	51.088	59.392	3.9736	46.741	2846
5	27	1	1	0.244	0.896	23.968	26.031	25.881	5.8484	68.035	632.97
5	28	-1	1	0.228	1.237	40.505	38.854	43.518	5.7942	71.695	2020.1
5	29	1	1	0.336	1.157	18.397	23.072	17.073	3.4839	48.143	710.07
5	30	-1	1	0.238	0.836	35.734	33.19	34.832	4.4312	56.62	757.24
